kind	class	method	param	index	uri	field
METHOD	com.leinardi.android.speeddial.SpeedDialView	init(android.content.Context,android.util.AttributeSet)	null	null	/Users/nima/Developer/null-repair-auto/projects/FloatingActionButtonSpeedDial/library/src/main/java/com/leinardi/android/speeddial/SpeedDialView.java	mMainFab
METHOD	com.leinardi.android.speeddial.SpeedDialView	toggle(boolean)	null	null	/Users/nima/Developer/null-repair-auto/projects/FloatingActionButtonSpeedDial/library/src/main/java/com/leinardi/android/speeddial/SpeedDialView.java	mIsOpen
METHOD	com.leinardi.android.speeddial.FabWithLabelView	init(android.content.Context,android.util.AttributeSet)	null	null	/Users/nima/Developer/null-repair-auto/projects/FloatingActionButtonSpeedDial/library/src/main/java/com/leinardi/android/speeddial/FabWithLabelView.java	mFab
METHOD	com.leinardi.android.speeddial.FabWithLabelView	init(android.content.Context,android.util.AttributeSet)	null	null	/Users/nima/Developer/null-repair-auto/projects/FloatingActionButtonSpeedDial/library/src/main/java/com/leinardi/android/speeddial/FabWithLabelView.java	mLabelTextView
METHOD	com.leinardi.android.speeddial.FabWithLabelView	init(android.content.Context,android.util.AttributeSet)	null	null	/Users/nima/Developer/null-repair-auto/projects/FloatingActionButtonSpeedDial/library/src/main/java/com/leinardi/android/speeddial/FabWithLabelView.java	mLabelCardView
